SEP=,
FROM,TO,DEMAND
Buch am Irchel West,Buch am Irchel West,0
Buch am Irchel West,Buch am Irchel Ost,4.055914412
Buch am Irchel West,Bassersdorf Nord,0.01570978
Buch am Irchel West,N�rensdorf S�d,0.094251293
Buch am Irchel West,N�rensdorf Nord,0.09564784
Buch am Irchel West,N�rensdorf Ost,0.047447486
Buch am Irchel West,Oberembrach Ost,0.007054212
Buch am Irchel West,Kyburg Ost,0.006582872
Buch am Irchel West,Kyburg West,0.005719468
Buch am Irchel West,Lindau Nord,0.07717844
Buch am Irchel West,Lindau Kemptthal,0.228576325
Buch am Irchel West,Lindau Zentrum,0.057679167
Buch am Irchel West,Weisslingen Nord,0.000656747
Buch am Irchel West,Bertschikon Nord,0.014060379
Buch am Irchel West,Bertschikon West,0.006650121
Buch am Irchel West,Bertschikon Ost,0.000622385
Buch am Irchel West,Br�tten,0.220596468
Buch am Irchel West,D�gerlen S�d,0.048969791
Buch am Irchel West,D�ttlikon,0.275131649
Buch am Irchel West,Dinhard Ost,0.00607696
Buch am Irchel West,Dinhard S�d,0.046628664
Buch am Irchel West,Ellikon an der Thur,0.024709138
Buch am Irchel West,Elsau Nord,0.002020152
Buch am Irchel West,Elsau West,0.224823181
Buch am Irchel West,Elsau S�d,0.054939067
Buch am Irchel West,Hettlingen West,0.326573741
Buch am Irchel West,Hettlingen Ost,0.096755967
Buch am Irchel West,Hofstetten (ZH) Nord,0.007372009
Buch am Irchel West,Hofstetten (ZH) S�d,8.31293E-05
Buch am Irchel West,Neftenbach West,3.242619623
Buch am Irchel West,Neftenbach Nordost,15.80508207
Buch am Irchel West,Neftenbach Ost,41.9238374
Buch am Irchel West,Neftenbach S�d,2.875661691
Buch am Irchel West,Pfungen,1.415360492
Buch am Irchel West,Rickenbach (ZH) S�d,0.069843062
Buch am Irchel West,Rickenbach (ZH) Nord,0.031515947
Buch am Irchel West,Schlatt Ost,0.003235877
Buch am Irchel West,Schlatt West,0.000166995
Buch am Irchel West,Seuzach West,0.220575074
Buch am Irchel West,Seuzach Nord,0.494945336
Buch am Irchel West,Seuzach S�d,0.287699146
Buch am Irchel West,Wiesendangen Nord,0.014608016
Buch am Irchel West,Wiesendangen West,0.137407824
Buch am Irchel West,Wiesendangen Ost,0.091841269
Buch am Irchel West,Wiesendangen Menzengr�t,0.000398542
Buch am Irchel West,Winterthur Altstadt Nord,6.909069197
Buch am Irchel West,Winterthur Altstadt West,12.26914891
Buch am Irchel West,Winterthur Altstadt Mitte,2.347457163
Buch am Irchel West,Winterthur Altstadt Ost,0.722526108
Buch am Irchel West,Winterthur Lind Nord,0.342529836
Buch am Irchel West,Winterthur Lind Mitte,1.05309763
Buch am Irchel West,Winterthur Lind S�dwest,2.229250503
Buch am Irchel West,Winterthur Lind S�dost,0.720972071
Buch am Irchel West,Winterthur Lind Ost,0.409045398
Buch am Irchel West,Winterthur Heiligberg Nord,4.289382728
Buch am Irchel West,Winterthur Heiligberg West,0.242903043
Buch am Irchel West,Winterthur Heiligberg Ost,0.270835864
Buch am Irchel West,Winterthur Heiligberg S�d,0.268146723
Buch am Irchel West,Winterthur T�ssfeld Nord,1.321617701
Buch am Irchel West,Winterthur T�ssfeld S�d,0.564620346
Buch am Irchel West,Winterthur T�ssfeld Ost,0.634083236
Buch am Irchel West,Winterthur Br�hlberg West,0.373880403
Buch am Irchel West,Winterthur Br�hlberg Ost,0.767782838
Buch am Irchel West,Winterthur Neuwiesen S�d,0.56291672
Buch am Irchel West,Winterthur Neuwiesen West,1.204298949
Buch am Irchel West,Winterthur Neuwiesen Ost,8.712216443
Buch am Irchel West,Winterthur Neuwiesen Nord,2.098159822
Buch am Irchel West,Winterthur Talacker Nord,0.079606298
Buch am Irchel West,Winterthur Talacker Ost,0.555909976
Buch am Irchel West,Winterthur Talacker S�d,0.415270016
Buch am Irchel West,Winterthur Talacker Zentrum,0.244875148
Buch am Irchel West,Winterthur Guggenb�hl West,0.538990316
Buch am Irchel West,Winterthur Guggenb�hl Ost,0.219325503
Buch am Irchel West,Winterthur Gr�ze West,0.128273303
Buch am Irchel West,Winterthur Gr�ze S�d,0.334204027
Buch am Irchel West,Winterthur Gr�ze S�dost,0.431866089
Buch am Irchel West,Winterthur Gr�ze Nordwest,0.100002338
